symbol_id,seal_id,symbol_index,cluster_id
page058_M-46_a_c1_sym_007,page058_M-46_a_c1,7,3
page058_M-46_a_c1_sym_008,page058_M-46_a_c1,8,5
page058_M-46_a_c1_sym_009,page058_M-46_a_c1,9,29
page058_M-46_a_c1_sym_010,page058_M-46_a_c1,10,6
page058_M-46_a_c1_sym_011,page058_M-46_a_c1,11,8
page058_M-46_a_c1_sym_012,page058_M-46_a_c1,12,27
page058_M-46_a_c1_sym_013,page058_M-46_a_c1,13,8
page058_M-46_a_c1_sym_014,page058_M-46_a_c1,14,16
page058_M-46_a_c1_sym_015,page058_M-46_a_c1,15,10
page058_M-46_a_c1_sym_016,page058_M-46_a_c1,16,8
page058_M-46_a_c1_sym_017,page058_M-46_a_c1,17,10
page058_M-46_a_c1_sym_018,page058_M-46_a_c1,18,23
page058_M-46_a_c1_sym_019,page058_M-46_a_c1,19,16
page058_M-46_a_c1_sym_020,page058_M-46_a_c1,20,35
page058_M-46_a_c1_sym_021,page058_M-46_a_c1,21,16
page058_M-46_a_c1_sym_022,page058_M-46_a_c1,22,27
page058_M-46_a_c1_sym_023,page058_M-46_a_c1,23,10
page058_M-46_a_c1_sym_024,page058_M-46_a_c1,24,6
page059_M-47_A_c0_sym_001,page059_M-47_A_c0,1,3
page059_M-47_A_c0_sym_002,page059_M-47_A_c0,2,23
page059_M-49_a_c1_sym_001,page059_M-49_a_c1,1,8
page059_M-49_a_c1_sym_002,page059_M-49_a_c1,2,10
page060_M-51_A_c0_sym_001,page060_M-51_A_c0,1,3
page062_M-36_a_c0_sym_001,page062_M-36_a_c0,1,5
page062_M-56_u_bis_c1_sym_001,page062_M-56_u_bis_c1,1,28
page062_M-57_A_c0_sym_001,page062_M-57_A_c0,1,5
page062_M-57_c1_sym_001,page062_M-57_c1,1,28
page064_M-61_A_c0_sym_001,page064_M-61_A_c0,1,26
page064_M-61_A_c0_sym_002,page064_M-61_A_c0,2,15
page064_M-61_A_c0_sym_003,page064_M-61_A_c0,3,26
page066_M-67_a_c1_sym_001,page066_M-67_a_c1,1,26
page066_M-67_a_c1_sym_002,page066_M-67_a_c1,2,35
page066_M-68_A_c0_sym_001,page066_M-68_A_c0,1,18
page066_M-68_A_c0_sym_002,page066_M-68_A_c0,2,15
page066_M-68_A_c0_sym_003,page066_M-68_A_c0,3,20
page067_M-70_A_c0_sym_001,page067_M-70_A_c0,1,3
page067_M-70_A_c0_sym_002,page067_M-70_A_c0,2,39
page067_M-70_A_c0_sym_003,page067_M-70_A_c0,3,39
page067_M-71_c0_sym_001,page067_M-71_c0,1,3
page067_M-71_c0_sym_002,page067_M-71_c0,2,39
page067_M-71_c0_sym_003,page067_M-71_c0,3,39
page067_M-72_A_c0_sym_001,page067_M-72_A_c0,1,3
page067_M-72_B_c0_sym_001,page067_M-72_B_c0,1,3
page067_M-72_c0_sym_001,page067_M-72_c0,1,3
page068_M-74_a_bis_c1_sym_001,page068_M-74_a_bis_c1,1,3
page069_M-77_a_c0_sym_001,page069_M-77_a_c0,1,12
page069_M-77_a_c0_sym_002,page069_M-77_a_c0,2,35
page071_M-84_A_c0_sym_001,page071_M-84_A_c0,1,30
page071_M-84_A_c0_sym_002,page071_M-84_A_c0,2,35
page071_M-85_c1_sym_001,page071_M-85_c1,1,18
page071_M-85_c1_sym_002,page071_M-85_c1,2,35
page071_M-85_c1_sym_003,page071_M-85_c1,3,29
page071_M-87_A_c0_sym_001,page071_M-87_A_c0,1,3
page072_M-89_c0_sym_001,page072_M-89_c0,1,1
page072_M-89_c0_sym_002,page072_M-89_c0,2,35
page072_M-89_c0_sym_003,page072_M-89_c0,3,18
page072_M-89_c0_sym_004,page072_M-89_c0,4,18
page072_M-91_A_c1_sym_001,page072_M-91_A_c1,1,35
page072_M-92_A_c0_sym_001,page072_M-92_A_c0,1,1
page072_M-92_A_c0_sym_002,page072_M-92_A_c0,2,35
page072_M-92_A_c0_sym_003,page072_M-92_A_c0,3,18
page072_M-92_A_c0_sym_004,page072_M-92_A_c0,4,18
page073_M-95_a_bis_c1_sym_001,page073_M-95_a_bis_c1,1,18
page073_M-95_a_c0_sym_001,page073_M-95_a_c0,1,0
page073_M-95_a_c0_sym_002,page073_M-95_a_c0,2,2
page073_M-96_a_c2_sym_001,page073_M-96_a_c2,1,33
page073_M-97_A_c0_sym_001,page073_M-97_A_c0,1,25
page073_M-98_A_c1_sym_001,page073_M-98_A_c1,1,18
page073_M-99_A_c2_sym_001,page073_M-99_A_c2,1,3
page073_M-99_A_c2_sym_002,page073_M-99_A_c2,2,3
page074_M-100_A_c0_sym_001,page074_M-100_A_c0,1,38
page074_M-104_A_c0_sym_001,page074_M-104_A_c0,1,15
page074_M-14_b_c1_sym_001,page074_M-14_b_c1,1,35
page075_M-105_a_c0_sym_001,page075_M-105_a_c0,1,9
page075_M-106_a_c1_sym_001,page075_M-106_a_c1,1,20
page075_M-107_c0_sym_001,page075_M-107_c0,1,15
page075_M-109_A_c1_sym_001,page075_M-109_A_c1,1,1
page075_M-109_A_c1_sym_002,page075_M-109_A_c1,2,15
page075_M-109_A_c1_sym_003,page075_M-109_A_c1,3,26
page075_M-109_A_c1_sym_004,page075_M-109_A_c1,4,16
page076_M-113_c0_sym_001,page076_M-113_c0,1,1
page076_M-113_c0_sym_002,page076_M-113_c0,2,3
page076_M-113_c0_sym_003,page076_M-113_c0,3,35
page077_M-120_a_c0_sym_001,page077_M-120_a_c0,1,35
page077_M-120_a_c0_sym_002,page077_M-120_a_c0,2,23
page077_M-120_a_c0_sym_003,page077_M-120_a_c0,3,1
page077_M-121_a_c1_sym_001,page077_M-121_a_c1,1,28
page077_M-121_a_c1_sym_002,page077_M-121_a_c1,2,27
page077_M-121_a_c1_sym_003,page077_M-121_a_c1,3,28
page078_M-123_c0_sym_001,page078_M-123_c0,1,35
page078_M-124_a_c1_sym_001,page078_M-124_a_c1,1,18
page078_M-124_c0_sym_001,page078_M-124_c0,1,18
page078_M-126_A_c0_sym_001,page078_M-126_A_c0,1,35
page078_M-126_c0_sym_001,page078_M-126_c0,1,35
page078_M-127_A_c1_sym_001,page078_M-127_A_c1,1,27
page080_M-135_A_c1_sym_001,page080_M-135_A_c1,1,12
page080_M-135_A_c1_sym_002,page080_M-135_A_c1,2,3
page080_M-135_A_c1_sym_003,page080_M-135_A_c1,3,27
page080_M-136_i_c0_sym_001,page080_M-136_i_c0,1,15
page080_M-137_A_c0_sym_001,page080_M-137_A_c0,1,12
page080_M-137_A_c0_sym_002,page080_M-137_A_c0,2,3
page080_M-137_A_c0_sym_003,page080_M-137_A_c0,3,27
page080_M-137_a_c1_sym_001,page080_M-137_a_c1,1,12
page080_M-137_a_c1_sym_002,page080_M-137_a_c1,2,3
page080_M-137_a_c1_sym_003,page080_M-137_a_c1,3,27
page081_M-141_A_c0_sym_001,page081_M-141_A_c0,1,34
page081_M-144_a_c2_sym_001,page081_M-144_a_c2,1,3
page081_M-144_c2_sym_001,page081_M-144_c2,1,34
page082_M-145_a_c0_sym_001,page082_M-145_a_c0,1,15
page082_M-145_a_c0_sym_002,page082_M-145_a_c0,2,15
page082_M-145_a_c0_sym_003,page082_M-145_a_c0,3,15
page082_M-145_a_c0_sym_004,page082_M-145_a_c0,4,18
page082_M-146_A_c0_sym_001,page082_M-146_A_c0,1,1
page083_M-150_A_c0_sym_001,page083_M-150_A_c0,1,9
page083_M-152_A_c2_sym_001,page083_M-152_A_c2,1,3
page083_M-154_A_c1_sym_001,page083_M-154_A_c1,1,15
page083_M-1_I_c0_sym_001,page083_M-1_I_c0,1,15
page084_M-156_a_c0_sym_001,page084_M-156_a_c0,1,3
page084_M-161_c2_sym_001,page084_M-161_c2,1,15
page085_M-162_a_c0_sym_001,page085_M-162_a_c0,1,35
page085_M-163_A_c0_sym_001,page085_M-163_A_c0,1,27
page085_M-164_c0_sym_001,page085_M-164_c0,1,27
page085_M-164_c0_sym_002,page085_M-164_c0,2,35
page085_M-164_c0_sym_003,page085_M-164_c0,3,18
page085_M-164_c0_sym_004,page085_M-164_c0,4,35
page085_M-164_c0_sym_005,page085_M-164_c0,5,18
page085_M-164_c0_sym_006,page085_M-164_c0,6,2
page085_M-164_c0_sym_007,page085_M-164_c0,7,18
page085_M-164_c0_sym_008,page085_M-164_c0,8,0
page085_M-164_c0_sym_009,page085_M-164_c0,9,35
page085_M-164_c0_sym_010,page085_M-164_c0,10,15
page085_M-164_c0_sym_011,page085_M-164_c0,11,18
page085_M-164_c0_sym_012,page085_M-164_c0,12,29
page085_M-164_c0_sym_013,page085_M-164_c0,13,23
page085_M-164_c0_sym_014,page085_M-164_c0,14,35
page085_M-164_c0_sym_015,page085_M-164_c0,15,18
page085_M-164_c0_sym_016,page085_M-164_c0,16,27
page085_M-164_c0_sym_017,page085_M-164_c0,17,27
page085_M-164_c0_sym_018,page085_M-164_c0,18,3
page085_M-164_c0_sym_019,page085_M-164_c0,19,18
page085_M-164_c0_sym_020,page085_M-164_c0,20,16
page085_M-164_c0_sym_021,page085_M-164_c0,21,10
page085_M-164_c0_sym_022,page085_M-164_c0,22,27
page085_M-164_c0_sym_023,page085_M-164_c0,23,1
page085_M-166_A_c1_sym_001,page085_M-166_A_c1,1,27
page085_M-167_A_c2_sym_001,page085_M-167_A_c2,1,27
page085_M-167_A_c2_sym_002,page085_M-167_A_c2,2,35
page085_M-167_A_c2_sym_003,page085_M-167_A_c2,3,18
page085_M-167_A_c2_sym_004,page085_M-167_A_c2,4,35
page085_M-167_A_c2_sym_005,page085_M-167_A_c2,5,18
page085_M-167_A_c2_sym_006,page085_M-167_A_c2,6,2
page085_M-167_A_c2_sym_007,page085_M-167_A_c2,7,18
page085_M-167_A_c2_sym_008,page085_M-167_A_c2,8,0
page085_M-167_A_c2_sym_009,page085_M-167_A_c2,9,35
page085_M-167_A_c2_sym_010,page085_M-167_A_c2,10,15
page085_M-167_A_c2_sym_011,page085_M-167_A_c2,11,18
page085_M-167_A_c2_sym_012,page085_M-167_A_c2,12,29
page085_M-167_A_c2_sym_013,page085_M-167_A_c2,13,23
page085_M-167_A_c2_sym_014,page085_M-167_A_c2,14,35
page085_M-167_A_c2_sym_015,page085_M-167_A_c2,15,18
page085_M-167_A_c2_sym_016,page085_M-167_A_c2,16,27
page085_M-167_A_c2_sym_017,page085_M-167_A_c2,17,27
page085_M-167_A_c2_sym_018,page085_M-167_A_c2,18,3
page085_M-167_A_c2_sym_019,page085_M-167_A_c2,19,18
page085_M-167_A_c2_sym_020,page085_M-167_A_c2,20,16
page085_M-167_A_c2_sym_021,page085_M-167_A_c2,21,10
page085_M-167_A_c2_sym_022,page085_M-167_A_c2,22,27
page085_M-167_A_c2_sym_023,page085_M-167_A_c2,23,1
page086_M-168_a_c0_sym_001,page086_M-168_a_c0,1,35
page086_M-168_a_c0_sym_002,page086_M-168_a_c0,2,9
page086_M-169_a_c2_sym_001,page086_M-169_a_c2,1,38
page086_M-171_a_c1_sym_001,page086_M-171_a_c1,1,3
page087_M-174_A_c1_sym_001,page087_M-174_A_c1,1,15
page087_M-177_A_c2_sym_001,page087_M-177_A_c2,1,15
page087_M-177_a_c3_sym_001,page087_M-177_a_c3,1,10
page087_M-177_a_c3_sym_002,page087_M-177_a_c3,2,18
page087_M-177_a_c3_sym_003,page087_M-177_a_c3,3,3
page087_M-178_A_c0_sym_001,page087_M-178_A_c0,1,27
page087_M-178_a_c1_sym_001,page087_M-178_a_c1,1,35
page087_M-178_a_c1_sym_002,page087_M-178_a_c1,2,29
page087_M-179_A_c2_sym_001,page087_M-179_A_c2,1,15
page088_M-182_a_c0_sym_001,page088_M-182_a_c0,1,27
page088_M-184_A_c0_sym_001,page088_M-184_A_c0,1,1
page088_M-184_A_c0_sym_002,page088_M-184_A_c0,2,15
page088_M-184_a_c1_sym_001,page088_M-184_a_c1,1,27
page088_M-185_A_c2_sym_001,page088_M-185_A_c2,1,27
page088_M-186_A_c0_sym_001,page088_M-186_A_c0,1,1
page088_M-186_A_c0_sym_002,page088_M-186_A_c0,2,15
page088_M-186_a_c1_sym_001,page088_M-186_a_c1,1,27
page088_M-188_A_c0_sym_001,page088_M-188_A_c0,1,1
page088_M-188_A_c0_sym_002,page088_M-188_A_c0,2,15
page088_M-188_a_c1_sym_001,page088_M-188_a_c1,1,27
page089_M-190_a_c1_sym_001,page089_M-190_a_c1,1,35
page089_M-191_a_c1_sym_001,page089_M-191_a_c1,1,9
page089_M-192_A_c2_sym_001,page089_M-192_A_c2,1,1
page089_M-192_a_c3_sym_001,page089_M-192_a_c3,1,3
page089_M-192_a_c3_sym_002,page089_M-192_a_c3,2,1
page089_M-193_a_c1_sym_001,page089_M-193_a_c1,1,9
page089_M-194_A_c2_sym_001,page089_M-194_A_c2,1,1
page089_M-194_a_c3_sym_001,page089_M-194_a_c3,1,3
page089_M-194_a_c3_sym_002,page089_M-194_a_c3,2,1
page089_M-195_a_c1_sym_001,page089_M-195_a_c1,1,1
page089_M-196_c3_sym_001,page089_M-196_c3,1,3
page089_M-197_a_c1_sym_001,page089_M-197_a_c1,1,1
page089_M-198_A_c2_sym_001,page089_M-198_A_c2,1,18
page089_M-198_a_c3_sym_001,page089_M-198_a_c3,1,3
page090_M-199_A_c0_sym_001,page090_M-199_A_c0,1,12
page090_M-199_A_c0_sym_002,page090_M-199_A_c0,2,3
page090_M-199_A_c0_sym_003,page090_M-199_A_c0,3,9
page090_M-199_a_c1_sym_001,page090_M-199_a_c1,1,35
page090_M-200_a_c3_sym_001,page090_M-200_a_c3,1,12
page090_M-200_a_c3_sym_002,page090_M-200_a_c3,2,35
page090_M-200_a_c3_sym_003,page090_M-200_a_c3,3,20
page090_M-201_a_c1_sym_001,page090_M-201_a_c1,1,1
page090_M-202_A_c2_sym_001,page090_M-202_A_c2,1,15
page090_M-202_a_c3_sym_001,page090_M-202_a_c3,1,1
page090_M-203_a_c1_sym_001,page090_M-203_a_c1,1,1
page090_M-204_A_c2_sym_001,page090_M-204_A_c2,1,15
page090_M-204_a_c3_sym_001,page090_M-204_a_c3,1,1
page090_M-205_a_c1_sym_001,page090_M-205_a_c1,1,35
page090_M-205_a_c1_sym_002,page090_M-205_a_c1,2,22
page090_M-205_a_c1_sym_003,page090_M-205_a_c1,3,18
page090_M-206_A_c2_sym_001,page090_M-206_A_c2,1,15
page090_M-206_a_c3_sym_001,page090_M-206_a_c3,1,1
page090_M-207_c1_sym_001,page090_M-207_c1,1,35
page090_M-207_c1_sym_002,page090_M-207_c1,2,22
page090_M-207_c1_sym_003,page090_M-207_c1,3,18
page090_M-208_A_c2_sym_001,page090_M-208_A_c2,1,9
page090_M-208_a_c3_sym_001,page090_M-208_a_c3,1,15
page090_M-208_a_c3_sym_002,page090_M-208_a_c3,2,0
page090_M-208_a_c3_sym_003,page090_M-208_a_c3,3,10
page090_M-208_a_c3_sym_004,page090_M-208_a_c3,4,3
page090_M-208_a_c3_sym_005,page090_M-208_a_c3,5,18
page090_M-208_a_c3_sym_006,page090_M-208_a_c3,6,3
page090_M-208_a_c3_sym_007,page090_M-208_a_c3,7,3
page090_M-208_a_c3_sym_008,page090_M-208_a_c3,8,15
page090_M-208_a_c3_sym_009,page090_M-208_a_c3,9,10
page090_M-208_a_c3_sym_010,page090_M-208_a_c3,10,23
page090_M-208_a_c3_sym_011,page090_M-208_a_c3,11,10
page091_E-5_c0_sym_001,page091_E-5_c0,1,3
page091_M-209_A_c0_sym_001,page091_M-209_A_c0,1,27
page091_M-210_A_c0_sym_001,page091_M-210_A_c0,1,15
page091_M-210_A_c0_sym_002,page091_M-210_A_c0,2,35
page091_M-210_a_c1_sym_001,page091_M-210_a_c1,1,3
page091_M-210_a_c1_sym_002,page091_M-210_a_c1,2,10
page091_M-210_a_c1_sym_003,page091_M-210_a_c1,3,10
page091_M-210_a_c1_sym_004,page091_M-210_a_c1,4,10
page091_M-210_a_c1_sym_005,page091_M-210_a_c1,5,3
page091_M-210_a_c1_sym_006,page091_M-210_a_c1,6,10
page091_M-210_a_c1_sym_007,page091_M-210_a_c1,7,18
page091_M-210_a_c1_sym_008,page091_M-210_a_c1,8,3
page091_M-210_a_c1_sym_009,page091_M-210_a_c1,9,10
page091_M-210_a_c1_sym_010,page091_M-210_a_c1,10,16
page091_M-210_a_c1_sym_011,page091_M-210_a_c1,11,10
page091_M-210_a_c1_sym_012,page091_M-210_a_c1,12,35
page091_M-210_a_c1_sym_013,page091_M-210_a_c1,13,23
page091_M-210_a_c1_sym_014,page091_M-210_a_c1,14,3
page091_M-211_A_c0_sym_001,page091_M-211_A_c0,1,3
page091_M-211_A_c0_sym_002,page091_M-211_A_c0,2,3
page091_M-211_A_c0_sym_003,page091_M-211_A_c0,3,35
page091_M-211_A_c0_sym_004,page091_M-211_A_c0,4,1
page091_M-211_A_c0_sym_005,page091_M-211_A_c0,5,9
page091_M-211_a_c1_sym_001,page091_M-211_a_c1,1,27
page091_M-212_A_c0_sym_001,page091_M-212_A_c0,1,1
page091_M-213_A_bis_c0_sym_001,page091_M-213_A_bis_c0,1,3
page091_M-214_a_c2_sym_001,page091_M-214_a_c2,1,3
page091_M-214_a_c2_sym_002,page091_M-214_a_c2,2,10
page091_M-214_a_c2_sym_003,page091_M-214_a_c2,3,10
page091_M-214_a_c2_sym_004,page091_M-214_a_c2,4,10
page091_M-214_a_c2_sym_005,page091_M-214_a_c2,5,3
page091_M-214_a_c2_sym_006,page091_M-214_a_c2,6,10
