symbol_id,seal_id,symbol_index,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,stroke_density,bbox_area_ratio,bbox_aspect_ratio,skeleton_pixel_fraction,endpoint_count,junction_count
page039_M-4_B_c0_sym_001,page039_M-4_B_c0,1,0.001096114309148915,7.769667136735537e-09,3.6746921941891765e-13,3.4933918150953654e-12,1.5753346864743037e-24,-1.9933263410815256e-16,3.6310455243869955e-24,0.69091796875,0.828125,0.828125,0.03173828125,0.0,130.0
page046_M-12_a_c1_sym_001,page046_M-12_a_c1,1,0.002245086843757414,1.4436050925856471e-06,1.1806809043886316e-10,1.7499349250418849e-10,1.8098551667942067e-20,1.9776106429751433e-13,1.746834314538459e-20,0.135498046875,0.49951171875,0.532258064516129,0.070556640625,7.0,203.0
page046_M-12_a_c1_sym_002,page046_M-12_a_c1,2,0.002236070119393713,3.271199631426248e-06,1.740606822472298e-10,1.2807613922257423e-10,1.912194512642445e-20,2.302458173586355e-13,-1.8631659426628097e-22,0.1875,0.359375,0.359375,0.0849609375,6.0,262.0
page046_M-12_a_c1_sym_003,page046_M-12_a_c1,3,0.0032742098561186813,5.706511237437205e-06,2.919090612200704e-09,6.185012799043796e-09,2.6189606787954207e-17,1.4693684906529677e-11,2.184622402300952e-18,0.112060546875,0.240966796875,0.44680851063829785,0.029052734375,1.0,108.0
page046_M-12_a_c1_sym_004,page046_M-12_a_c1,4,0.0021141009203088875,1.1833710837018171e-08,2.5508702095318484e-10,2.830180682844371e-10,5.839464386874063e-20,2.2589251998644614e-14,-4.8711067082195607e-20,0.048828125,0.359375,0.359375,0.00341796875,0.0,14.0
page046_M-12_a_c1_sym_005,page046_M-12_a_c1,5,0.004913922623059537,1.680034267435918e-06,2.932728341302624e-11,6.10060407619193e-11,1.4219405348448099e-21,7.899255430339767e-14,2.153322793969959e-21,0.0,0.0,0.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_006,page046_M-12_a_c1,6,0.0016643203090849963,8.404953047140713e-07,4.639060823570734e-10,2.777602738632725e-10,9.384717122691641e-20,2.4903427860132537e-13,-3.3674118193085876e-20,0.134521484375,0.51025390625,0.6909090909090909,0.0419921875,0.0,171.0
page046_M-12_a_c1_sym_007,page046_M-12_a_c1,7,0.00130654103373414,1.1535726765827861e-07,9.244810177667101e-11,1.0467307553645133e-11,-3.249017140093687e-22,-1.9093318216989286e-15,2.1507568280973047e-23,0.25927734375,0.796875,0.796875,0.109130859375,6.0,402.0
page046_M-12_a_c1_sym_008,page046_M-12_a_c1,8,0.004803305867377586,6.264062231798185e-06,1.0338683612373483e-10,9.436472426040582e-11,4.537983846460263e-21,2.2854643269359974e-13,-8.141350822589385e-21,0.0,0.0,0.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_009,page046_M-12_a_c1,9,0.003111011857919294,8.604670652517535e-06,1.156800091810056e-09,1.175821418524182e-09,1.3712920733713413e-18,3.44114042026525e-12,-9.86689303839871e-21,0.08447265625,0.146484375,0.16666666666666666,0.028564453125,1.0,110.0
page046_M-12_a_c1_sym_010,page046_M-12_a_c1,10,0.0013239215182040257,4.186820725402011e-07,4.215166141555324e-12,1.1973818909596114e-11,8.042534921691232e-23,-7.111092580183983e-15,2.771280807700244e-23,0.0,0.0,0.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_011,page046_M-12_a_c1,11,0.002181621123370245,3.035837379098157e-06,7.79351703305186e-12,2.1479514947504033e-12,8.561667188781542e-24,5.900105646643255e-16,1.982817488259551e-24,0.152099609375,0.328125,0.328125,0.070556640625,10.0,226.0
page046_M-12_a_c1_sym_012,page046_M-12_a_c1,12,0.0013016576655123738,6.162322538171204e-07,2.8153968009374455e-11,2.379768379035667e-11,3.3343703505437223e-22,1.667227035912899e-14,5.179384534461668e-22,0.09814453125,0.390625,2.56,0.023681640625,1.0,68.0
page046_M-12_a_c1_sym_013,page046_M-12_a_c1,13,0.0010353011941600038,4.612050754101322e-08,7.725855513413196e-12,1.0157007230699746e-12,2.2574358310213392e-24,3.233967296574652e-17,-1.7319027117320955e-24,0.18115234375,0.859375,0.859375,0.0234375,8.0,7.0
page046_M-12_a_c1_sym_014,page046_M-12_a_c1,14,0.0021540231572708323,1.1432641517598576e-06,3.776291716457232e-10,2.0634112697537247e-10,-5.756741190820203e-20,5.15917615376779e-14,1.8933424820354295e-21,0.06982421875,0.234375,0.234375,0.0185546875,0.0,75.0
page046_M-12_a_c1_sym_015,page046_M-12_a_c1,15,0.0023423041923870476,4.2378402067913234e-06,3.322983175261384e-11,3.767786245035313e-11,1.2817509133472916e-21,7.479485724236127e-14,3.6677199858461473e-22,0.099853515625,0.20849609375,4.357142857142857,0.046875,4.0,161.0
page046_M-12_a_c1_sym_016,page046_M-12_a_c1,16,0.0014151348255748725,4.561355748625097e-08,2.407611478576023e-11,4.88061827070443e-12,-4.3305386463224873e-23,-9.668730334631628e-16,-3.039235532522641e-23,0.432373046875,0.875,0.875,0.265380859375,20.0,944.0
page046_M-12_a_c1_sym_017,page046_M-12_a_c1,17,0.001664157350457587,5.219526416122337e-07,1.0085433043820356e-11,2.7986704277141945e-12,-1.1436232725629201e-23,7.83185942624138e-16,9.502250782612762e-24,0.029296875,0.037353515625,0.5294117647058824,0.00439453125,0.0,18.0
page046_M-12_a_c1_sym_018,page046_M-12_a_c1,18,0.0037869041508478796,1.0680013829912653e-05,1.277301810826103e-09,1.658285344631622e-09,2.403105760315662e-18,5.117437397714192e-12,-2.230528575836802e-19,0.033203125,0.0966796875,0.3055555555555556,0.015380859375,0.0,60.0
page046_M-12_a_c1_sym_019,page046_M-12_a_c1,19,0.0014201274592193142,6.976742111949982e-07,8.27090735305911e-12,1.292860402918507e-11,1.3280989122785704e-22,1.0718254312374316e-14,1.5328704455907088e-23,0.14013671875,0.475341796875,0.559322033898305,0.046875,0.0,192.0
page046_M-12_a_c1_sym_020,page046_M-12_a_c1,20,0.007131857573467154,5.0468516270437634e-05,2.7604007199794575e-11,2.7604007199794575e-11,7.619812134863108e-22,1.9610217048926735e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_021,page046_M-12_a_c1,21,0.0008636360659109129,2.640876880116708e-08,5.848406098181492e-12,2.986481709396338e-12,-9.418356003869215e-24,-2.016022796280905e-16,8.190024847983373e-24,0.066162109375,0.14501953125,0.8148148148148148,0.00927734375,0.0,35.0
page046_M-12_a_c1_sym_022,page046_M-12_a_c1,22,0.0017184970365435415,1.1677830928195225e-06,7.780407101234155e-12,4.164277342174932e-12,2.035788434389742e-23,4.269394760843926e-15,-1.214115628845287e-23,0.097412109375,0.295166015625,0.7948717948717948,0.01513671875,0.0,62.0
page046_M-12_a_c1_sym_023,page046_M-12_a_c1,23,0.001963858625738797,2.427254727987402e-06,8.42963028873541e-11,1.1517524642092092e-10,1.088836740343033e-20,1.7241439317430348e-13,-3.199154960365229e-21,0.0771484375,0.189697265625,1.7619047619047619,0.019287109375,0.0,65.0
page046_M-12_a_c1_sym_024,page046_M-12_a_c1,24,0.022969245311633163,0.0005275862301859821,1.8069570877516506e-08,1.8069570877516506e-08,3.265093916975927e-16,4.150444061616191e-10,0.0,0.003662109375,0.0126953125,52.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_025,page046_M-12_a_c1,25,0.022124921747977234,0.0004895121623541166,7.285589083751809e-09,7.285589083751809e-09,5.3079808297283526e-17,1.6119308836592603e-10,-5.457073508396112e-30,0.003173828125,0.003173828125,13.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_026,page046_M-12_a_c1,26,0.005698437892501877,3.1992303126698806e-05,5.1812561037920325e-12,5.1812561037920325e-12,2.684541481308219e-23,2.9306085515846295e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page046_M-12_a_c1_sym_027,page046_M-12_a_c1,27,0.00188332933171143,2.655051190864698e-06,2.5402885111107044e-10,2.6219657827385733e-10,6.75588482730051e-20,4.2686896942177854e-13,3.83836727110039e-21,0.052490234375,0.136962890625,1.9411764705882353,0.010498046875,5.0,4.0
page046_M-12_a_c1_sym_028,page046_M-12_a_c1,28,0.008063110600817299,6.451031758249741e-05,3.85915975462701e-16,3.85915975462701e-16,1.4893114011732804e-31,3.0996120961972405e-18,0.0,0.02783203125,0.02783203125,12.666666666666666,0.0,0.0,0.0
page046_M-12_a_c1_sym_029,page046_M-12_a_c1,29,0.0031871197217467288,5.655796229833574e-06,2.2784344784731064e-10,4.828116006954846e-10,2.022287816484878e-21,7.542780594183567e-13,1.601216963921384e-19,0.10009765625,0.21875,0.21875,0.016357421875,2.0,30.0
page046_M-12_a_c1_sym_030,page046_M-12_a_c1,30,0.0021666400163284165,2.804766474452256e-06,1.7012875512332353e-10,1.3967228380267921e-10,2.1327386383046917e-20,1.9970417075646762e-13,-2.9504626712453502e-21,0.1796875,0.31689453125,0.3728813559322034,0.067626953125,6.0,228.0
page046_M-12_a_c1_sym_031,page046_M-12_a_c1,31,0.0013779647384510073,1.9626901967105948e-07,3.2315538537575e-12,1.8570385764763424e-11,1.425602167155769e-22,-8.016277127339275e-15,1.928733421668378e-23,0.201171875,0.6875,0.6875,0.098876953125,9.0,324.0
