page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
19,5,0,"Mesopotamian inspiration);25 indeed, one cylinder seal from Mohenjo-daro (M-419) resembles more","Mesopotamian inspiration);25 indeed, one cylinder seal from Mohenjo-daro (M-419) resembles more",138,619,2031,57,1773,M,419,,,,M-419
19,7,0,"the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,","the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,",137,755,1870,59,866,D,4,,,,D-4
19,7,1,"the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,","the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,",137,755,1870,59,1236,K,1,,,,K-1
19,14,0,"made, undoubtedly by the potter, on wet clay pots before firing (cf., e.g., M-420 to 424). Other","made, undoubtedly by the potter, on wet clay pots before firing (cf., e.g., M-420 to 424). Other",139,1380,2032,52,1821,M,420,t,,,M-420 t
19,17,0,(L-124 ff.).28 The study of the seals and seal impressions in combination with their archaeological,(L-124 ff.).28 The study of the seals and seal impressions in combination with their archaeological,140,1580,2030,55,232,L,124,f,,,L-124 f
19,23,0,24 The unique T-shaped seal H-165 may also be of NE Iranian origin.,24 The unique T-shaped seal H-165 may also be of NE Iranian origin.,143,2021,1177,55,696,H,165,m,,,H-165 m
20,4,0,"Some of the seals, such as M-319, are carved hollow and provided with a lid so that","Some of the seals, such as M-319, are carved hollow and provided with a lid so that",361,583,1897,59,1035,M,319,,,,M-319
20,16,0,"ones, often massproduced in moulds. Sometimes great numbers of similar tablets (especially H-252","ones, often massproduced in moulds. Sometimes great numbers of similar tablets (especially H-252",235,1394,2027,52,2209,H,252,,,,H-252
20,22,0,"strokes that clearly stand for numbers. In M-494 A and M-495 A, there is a sequence of three U-","strokes that clearly stand for numbers. In M-494 A and M-495 A, there is a sequence of three U-",238,1799,2022,55,1238,M,494,A,,,M-494 A
20,22,1,"strokes that clearly stand for numbers. In M-494 A and M-495 A, there is a sequence of three U-","strokes that clearly stand for numbers. In M-494 A and M-495 A, there is a sequence of three U-",238,1799,2022,55,1483,M,495,A,,,M-495 A
