page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
147,29,1,| M-455 B bis M-455 b |,| M-455 B bis M-455 b |,78,3167,2200,91,1799,M,455,b,,,M-455 b
148,4,0,"ae >= Cy M-457 A "" M458. A","ae >= Cy M-457 A "" M458. A",213,519,1923,93,1174,M,457,A,,,M-457 A
148,6,0,_— M-457 E nese,_- M-457 E nese,263,777,951,80,706,M,457,E,,,M-457 E
148,9,0,M-457 B Fi — ;,M-457 B Fi - ;,225,955,2066,82,815,M,457,B,,,M-457 B
148,16,0,M-459 A M-459 B M-460 A M-460 B,M-459 A M-459 B M-460 A M-460 B,460,1428,1802,45,692,M,459,A,,,M-459 A
148,16,1,M-459 A M-459 B M-460 A M-460 B,M-459 A M-459 B M-460 A M-460 B,460,1428,1802,45,1157,M,459,B,,,M-459 B
148,16,2,M-459 A M-459 B M-460 A M-460 B,M-459 A M-459 B M-460 A M-460 B,460,1428,1802,45,1622,M,460,A,,,M-460 A
148,16,3,M-459 A M-459 B M-460 A M-460 B,M-459 A M-459 B M-460 A M-460 B,460,1428,1802,45,2058,M,460,B,,,M-460 B
148,23,0,. ee. = ‘ M-462 A,. ee. = ‘ M-462 A,198,2162,1960,81,1754,M,462,A,,,M-462 A
148,24,0,M-461 B M-462 B,M-461 B M-462 B,244,2344,1397,38,616,M,461,B,,,M-461 B
148,24,1,M-461 B M-462 B,M-461 B M-462 B,244,2344,1397,38,1315,M,462,B,,,M-462 B
148,29,0,M-463 A ae ok,M-463 A ae ok,489,2778,724,41,711,M,463,A,,,M-463 A
148,30,0,aa M-464 A,aa M-464 A,1052,2825,993,88,1697,M,464,A,,,M-464 A
149,4,0,me M-465 B,me M-465 B,629,532,1022,33,1293,M,465,B,,,M-465 B
149,7,0,M-466 A M-466 B,M-466 A M-466 B,631,894,1027,64,904,M,466,A,,,M-466 A
149,7,1,M-466 A M-466 B,M-466 A M-466 B,631,894,1027,64,1418,M,466,B,,,M-466 B
149,12,0,M-467 A lee eee ny,M-467 A lee eee ny,635,1283,1058,57,870,M,467,A,,,M-467 A
149,14,0,RAR y AS) M-467 B,RAR y AS) M-467 B,408,1468,1253,139,1403,M,467,B,,,M-467 B
149,17,0,M-467 A bis,M-467 A bis,606,1688,205,58,708,M,467,A,,bis,M-467 A bis
149,22,0,M-468 A M-468 B,M-468 A M-468 B,641,2135,1026,53,914,M,468,A,,,M-468 A
149,22,1,M-468 A M-468 B,M-468 A M-468 B,641,2135,1026,53,1427,M,468,B,,,M-468 B
149,23,0,M-468 E M-468 D,M-468 E M-468 D,843,2362,543,54,987,M,468,E,,,M-468 E
149,23,1,M-468 E M-468 D,M-468 E M-468 D,843,2362,543,54,1259,M,468,D,,,M-468 D
149,25,0,"rt ies ee fr ) Fz"" e-3 8 es ez Sta ea","rt ies ee fr ) Fz"" e-3 8 es ez Sta ea",476,2595,1461,94,1305,E,3,,,,E-3
149,26,0,M-469 A M-469 B,M-469 A M-469 B,648,2815,1022,56,920,M,469,A,,,M-469 A
149,26,1,M-469 A M-469 B,M-469 A M-469 B,648,2815,1022,56,1431,M,469,B,,,M-469 B
149,27,0,M-470 A M-470 B,M-470 A M-470 B,653,3198,1020,45,925,M,470,A,,,M-470 A
149,27,1,M-470 A M-470 B,M-470 A M-470 B,653,3198,1020,45,1435,M,470,B,,,M-470 B
150,9,0,M-a7L A MSIE As M-473 A,M-a7L A MSIE As M-473 A,410,539,1632,59,1793,M,473,A,,,M-473 A
150,10,0,M-471 B sa a,M-471 B sa a,413,942,1626,64,955,M,471,B,,,M-471 B
150,13,0,\% APN har) Sie a - 3 2 a Bee i» PL,\% APN har) Sie a - 3 2 a Bee i» PL,219,1336,1210,72,875,A,3,,,,A-3
150,14,0,M-474 A Pere) i gal M-475 A,M-474 A Pere) i gal M-475 A,451,1452,1657,58,696,M,474,A,,,M-474 A
150,14,1,M-474 A Pere) i gal M-475 A,M-474 A Pere) i gal M-475 A,451,1452,1657,58,1893,M,475,A,,,M-475 A
150,16,0,eat hee M-474 B LI LZ 2),eat hee M-474 B LI LZ 2),192,1579,1987,100,1185,M,474,B,,,M-474 B
150,18,0,M-474 A bis,M-474 A bis,424,1801,203,30,525,M,474,A,,bis,M-474 A bis
150,19,0,M-475 a,M-475 a,1951,1847,134,29,2018,M,475,a,,,M-475 a
150,21,0,fe fet: iy MBO M-475 B,fe fet: iy MBO M-475 B,199,2054,1896,90,1793,M,475,B,,,M-475 B
150,22,0,M-476 A M-476 B,M-476 A M-476 B,312,2289,630,32,480,M,476,A,,,M-476 A
150,22,1,M-476 A M-476 B,M-476 A M-476 B,312,2289,630,32,795,M,476,B,,,M-476 B
150,23,0,M-477 A (1),M-477 A (1),554,2878,205,28,656,M,477,A,1.0,,M-477 A (1)
150,24,0,| M-477 B,| M-477 B,1118,3039,793,35,1602,M,477,B,,,M-477 B
150,27,0,M-477 A (2) M-477 C,M-477 A (2) M-477 C,557,3232,1357,33,985,M,477,A,2.0,,M-477 A (2)
150,27,1,M-477 A (2) M-477 C,M-477 A (2) M-477 C,557,3232,1357,33,1664,M,477,C,,,M-477 C
151,3,0,6 M-478 A M-478 B g,6 M-478 A M-478 B g,206,508,1922,204,812,M,478,A,,,M-478 A
151,3,1,6 M-478 A M-478 B g,6 M-478 A M-478 B g,206,508,1922,204,1622,M,478,B,,,M-478 B
151,4,0,M-478 F M-478 C M-478 E M-478 D,M-478 F M-478 C M-478 E M-478 D,176,704,1994,69,433,M,478,F,,,M-478 F
151,4,1,M-478 F M-478 C M-478 E M-478 D,M-478 F M-478 C M-478 E M-478 D,176,704,1994,69,947,M,478,C,,,M-478 C
151,4,2,M-478 F M-478 C M-478 E M-478 D,M-478 F M-478 C M-478 E M-478 D,176,704,1994,69,1462,M,478,E,,,M-478 E
151,4,3,M-478 F M-478 C M-478 E M-478 D,M-478 F M-478 C M-478 E M-478 D,176,704,1994,69,1944,M,478,D,,,M-478 D
151,8,0,M-479 A M-479 B,M-479 A M-479 B,481,1103,1365,63,845,M,479,A,,,M-479 A
151,8,1,M-479 A M-479 B,M-479 A M-479 B,481,1103,1365,63,1527,M,479,B,,,M-479 B
151,12,0,M-480 A M-480 B,M-480 A M-480 B,503,1521,1334,77,858,M,480,A,,,M-480 A
151,12,1,M-480 A M-480 B,M-480 A M-480 B,503,1521,1334,77,1525,M,480,B,,,M-480 B
151,13,0,"a ey — — a = i ey 4 ae - 4 —— - J n,","a ey - - a = i ey 4 ae - 4 -- - J n,",175,1614,2057,76,1546,E,4,,,,E-4
151,15,0,M-480 a = M-480) b,M-480 a = M-480) b,542,1935,1293,62,829,M,480,a,,,M-480 a
151,15,1,M-480 a = M-480) b,M-480 a = M-480) b,542,1935,1293,62,1439,M,480,,,,M-480
151,20,0,M-481 A M-481 a,M-481 A M-481 a,540,2246,1155,41,848,M,481,A,,,M-481 A
151,20,1,M-481 A M-481 a,M-481 A M-481 a,540,2246,1155,41,1425,M,481,a,,,M-481 a
151,22,0,M-481 B M-481 b,M-481 B M-481 b,545,2542,1148,41,851,M,481,B,,,M-481 B
151,22,1,M-481 B M-481 b,M-481 B M-481 b,545,2542,1148,41,1425,M,481,b,,,M-481 b
151,24,0,M-481 B bis e 2,M-481 B bis e 2,519,2797,1734,201,1154,M,481,B,,bis,M-481 B bis
151,25,0,‘3 M-481 C,‘3 M-481 C,1209,2903,506,38,1537,M,481,C,,,M-481 C
151,26,0,M-481 E |,M-481 E |,1573,3189,714,42,1890,M,481,E,,,M-481 E
152,9,0,M-482 A M-482 B,M-482 A M-482 B,564,575,1327,35,917,M,482,A,,,M-482 A
152,9,1,M-482 A M-482 B,M-482 A M-482 B,564,575,1327,35,1581,M,482,B,,,M-482 B
152,17,0,M-483 A,M-483 A,1160,1009,141,28,1230,M,483,A,,,M-483 A
152,22,0,M-483 A bis,M-483 A bis,1131,1451,203,55,1232,M,483,A,,bis,M-483 A bis
152,27,0,M-483 B,M-483 B,1168,1967,136,28,1236,M,483,B,,,M-483 B
152,31,0,M-483 B bis,M-483 B bis,1140,2443,197,42,1238,M,483,B,,bis,M-483 B bis
152,35,0,M-483 E,M-483 E,1164,3238,137,26,1232,M,483,E,,,M-483 E
153,2,0,M-484 A,M-484 A,1086,608,146,64,1159,M,484,A,,,M-484 A
153,5,0,M-484 A bis,M-484 A bis,1058,1225,204,31,1160,M,484,A,,bis,M-484 A bis
153,7,0,M-484 B,M-484 B,1098,1800,146,64,1171,M,484,B,,,M-484 B
153,8,0,M-485 A,M-485 A,1104,2582,180,54,1194,M,485,A,,,M-485 A
154,7,0,| M-486 A M-486 a .,| M-486 A M-486 a .,120,522,2339,150,858,M,486,A,,,M-486 A
154,7,1,| M-486 A M-486 a .,| M-486 A M-486 a .,120,522,2339,150,1843,M,486,a,,,M-486 a
154,10,0,M-486 B M-486 b,M-486 B M-486 b,700,1002,1055,50,981,M,486,B,,,M-486 B
154,10,1,M-486 B M-486 b,M-486 B M-486 b,700,1002,1055,50,1508,M,486,b,,,M-486 b
154,13,0,"M-486 C BSD, te: re g |","M-486 C BSD, te: re g |",694,1400,1766,140,1001,M,486,C,,,M-486 C
154,18,0,M-486 C bis,M-486 C bis,694,1898,201,43,794,M,486,C,,bis,M-486 C bis
154,20,0,M-487 A,M-487 A,1163,2437,147,44,1236,M,487,A,,,M-487 A
154,21,0,M-487 B,M-487 B,1174,2836,140,42,1244,M,487,B,,,M-487 B
154,23,0,M-487 C,M-487 C,1176,3262,140,29,1246,M,487,C,,,M-487 C
155,5,0,M-488 A,M-488 A,1099,531,146,72,1172,M,488,A,,,M-488 A
155,6,0,M-488 B,M-488 B,1102,1035,144,71,1174,M,488,B,,,M-488 B
155,7,0,M-488 C,M-488 C,1108,1554,144,71,1180,M,488,C,,,M-488 C
155,9,0,M-488 a,M-488 a,1126,2101,136,44,1194,M,488,a,,,M-488 a
155,11,0,M-488 b,M-488 b,1126,2654,136,43,1194,M,488,b,,,M-488 b
155,12,0,M-488 c,M-488 c,1141,3223,132,44,1207,M,488,c,,,M-488 c
156,6,0,M-389 A 7 M-489,M-389 A 7 M-489,575,486,1261,49,911,M,389,A,,,M-389 A
156,6,1,M-389 A 7 M-489,M-389 A 7 M-489,575,486,1261,49,1625,M,489,,,,M-489
156,11,0,M-489 B M-489 b |,M-489 B M-489 b |,581,813,1852,67,1016,M,489,B,,,M-489 B
156,11,1,M-489 B M-489 b |,M-489 B M-489 b |,581,813,1852,67,1888,M,489,b,,,M-489 b
156,14,0,M-489 C M-489 ¢,M-489 C M-489 ¢,583,1203,1281,44,924,M,489,C,,,M-489 C
156,14,1,M-489 C M-489 ¢,M-489 C M-489 ¢,583,1203,1281,44,1522,M,489,,,,M-489
156,18,0,M490 A M-490 B |,M490 A M-490 B |,679,1577,1759,41,1888,M,490,B,,,M-490 B
156,20,0,M-490 a M90 B + C,M-490 a M90 B + C,682,1951,1103,30,941,M,490,a,,,M-490 a
156,27,0,M-491 A,M-491 A,703,2389,143,29,774,M,491,A,,,M-491 A
156,31,0,M-491 A bis M-491 B,M-491 A bis M-491 B,657,2806,1112,36,978,M,491,A,,bis,M-491 A bis
156,31,1,M-491 A bis M-491 B,M-491 A bis M-491 B,657,2806,1112,36,1564,M,491,B,,,M-491 B
156,36,0,M-491 a M491 B+C,M-491 a M491 B+C,686,3222,1118,39,965,M,491,a,,,M-491 a
157,5,0,M-492 A :,M-492 A :,502,494,965,72,930,M,492,A,,,M-492 A
157,6,0,| M-493 A,| M-493 A,69,547,1766,98,1148,M,493,A,,,M-493 A
157,11,0,M-492 B M-493 A bis,M-492 B M-493 A bis,507,963,1362,31,793,M,492,B,,,M-492 B
157,11,1,M-492 B M-493 A bis,M-492 B M-493 A bis,507,963,1362,31,1474,M,493,A,,bis,M-493 A bis
157,14,0,M-492 C M-493 B,M-492 C M-493 B,512,1402,1330,44,866,M,492,C,,,M-492 C
157,14,1,M-492 C M-493 B,M-492 C M-493 B,512,1402,1330,44,1531,M,493,B,,,M-493 B
157,18,0,| aa.’ S \! a 4X M-493 C,| aa.’ S \! a 4X M-493 C,81,1767,1766,119,1589,M,493,C,,,M-493 C
157,19,0,M-494 A,M-494 A,443,1968,142,28,514,M,494,A,,,M-494 A
157,22,0,| M-494 B-G M-494 A bis |,| M-494 B-G M-494 A bis |,87,2351,2197,94,570,M,494,B,,,M-494 B
157,22,1,| M-494 B-G M-494 A bis |,| M-494 B-G M-494 A bis |,87,2351,2197,94,1624,M,494,A,,bis,M-494 A bis
157,27,0,M494 G-B M-494 E-G -,M494 G-B M-494 E-G -,467,2814,1601,43,1467,M,494,E,,,M-494 E
157,30,0,— a —4 4 > : r = — ‘ “ = :,- a -4 4 > : r = - ‘ “ = :,231,2971,1954,37,569,A,4,,,,A-4
157,32,0,M-494 B-C M-494 | M494 F,M-494 B-C M-494 | M494 F,472,3188,1686,53,717,M,494,B,,,M-494 B
157,32,1,M-494 B-C M-494 | M494 F,M-494 B-C M-494 | M494 F,472,3188,1686,53,1385,M,494,,,,M-494
158,3,0,wee A M-495 A bis,wee A M-495 A bis,681,507,1087,54,1416,M,495,A,,bis,M-495 A bis
158,6,0,M-495 a,M-495 a,1149,986,129,28,1213,M,495,a,,,M-495 a
158,10,0,M-495 B M-495 B bis,M-495 B M-495 B bis,689,1403,1071,33,914,M,495,B,,,M-495 B
158,10,1,M-495 B M-495 B bis,M-495 B M-495 B bis,689,1403,1071,33,1449,M,495,B,,bis,M-495 B bis
158,14,0,M-495 b,M-495 b,1147,1844,131,28,1212,M,495,b,,,M-495 b
158,16,0,M-495 G-B M-495 G,M-495 G-B M-495 G,677,2307,1044,36,891,M,495,G,,,M-495 G
158,16,1,M-495 G-B M-495 G,M-495 G-B M-495 G,677,2307,1044,36,1506,M,495,G,,,M-495 G
158,20,0,M-495 G-B bis M-495 g,M-495 G-B bis M-495 g,646,2794,1080,50,826,M,495,G,,,M-495 G
158,20,1,M-495 G-B bis M-495 g,M-495 G-B bis M-495 g,646,2794,1080,50,1546,M,495,g,,,M-495 g
159,4,0,M-496 C,M-496 C,1399,598,143,45,1470,M,496,C,,,M-496 C
159,12,0,M-496 B M-496 F M496 A M-496 D,M-496 B M-496 F M496 A M-496 D,345,1184,1793,43,584,M,496,B,,,M-496 B
159,12,1,M-496 B M-496 F M496 A M-496 D,M-496 B M-496 F M496 A M-496 D,345,1184,1793,43,1062,M,496,F,,,M-496 F
159,12,2,M-496 B M-496 F M496 A M-496 D,M-496 B M-496 F M496 A M-496 D,345,1184,1793,43,1928,M,496,D,,,M-496 D
159,18,0,M-496 E,M-496 E,1407,1652,139,28,1476,M,496,E,,,M-496 E
159,20,0,M-497 C,M-497 C,1445,2187,140,30,1515,M,497,C,,,M-497 C
159,25,0,M-497 B M-497 F-G M-497 A M-497 D,M-497 B M-497 F-G M-497 A M-497 D,356,2754,1783,48,572,M,497,B,,,M-497 B
159,25,1,M-497 B M-497 F-G M-497 A M-497 D,M-497 B M-497 F-G M-497 A M-497 D,356,2754,1783,48,977,M,497,F,,,M-497 F
159,25,2,M-497 B M-497 F-G M-497 A M-497 D,M-497 B M-497 F-G M-497 A M-497 D,356,2754,1783,48,1544,M,497,A,,,M-497 A
159,25,3,M-497 B M-497 F-G M-497 A M-497 D,M-497 B M-497 F-G M-497 A M-497 D,356,2754,1783,48,1949,M,497,D,,,M-497 D
159,28,0,M-497 E,M-497 E,1457,3200,139,29,1526,M,497,E,,,M-497 E
160,3,0,M-498 C,M-498 C,1451,579,140,41,1521,M,498,C,,,M-498 C
160,9,0,M-498 B M-498 F M-498 A M-498 D-,M-498 B M-498 F M-498 A M-498 D-,466,1152,1619,53,668,M,498,B,,,M-498 B
160,9,1,M-498 B M-498 F M-498 A M-498 D-,M-498 B M-498 F M-498 A M-498 D-,466,1152,1619,53,1073,M,498,F,,,M-498 F
160,9,2,M-498 B M-498 F M-498 A M-498 D-,M-498 B M-498 F M-498 A M-498 D-,466,1152,1619,53,1477,M,498,A,,,M-498 A
160,9,3,M-498 B M-498 F M-498 A M-498 D-,M-498 B M-498 F M-498 A M-498 D-,466,1152,1619,53,1857,M,498,D,,,M-498 D
160,13,0,M-498 E,M-498 E,1445,1591,137,30,1513,M,498,E,,,M-498 E
160,16,0,M-499 C,M-499 C,1433,2130,140,30,1503,M,499,C,,,M-499 C
160,22,0,M-499 B M-499 F M-499 A M-499 D,M-499 B M-499 F M-499 A M-499 D,345,2697,1780,50,574,M,499,B,,,M-499 B
160,22,1,M-499 B M-499 F M-499 A M-499 D,M-499 B M-499 F M-499 A M-499 D,345,2697,1780,50,1034,M,499,F,,,M-499 F
160,22,2,M-499 B M-499 F M-499 A M-499 D,M-499 B M-499 F M-499 A M-499 D,345,2697,1780,50,1493,M,499,A,,,M-499 A
160,22,3,M-499 B M-499 F M-499 A M-499 D,M-499 B M-499 F M-499 A M-499 D,345,2697,1780,50,1924,M,499,D,,,M-499 D
160,24,0,M-499 E,M-499 E,1438,3234,134,29,1505,M,499,E,,,M-499 E
161,2,0,M-500 a M-500 A M-S00) a bis,M-500 a M-500 A M-S00) a bis,541,682,1290,36,725,M,500,a,,,M-500 a
161,2,1,M-500 a M-500 A M-S00) a bis,M-500 a M-500 A M-S00) a bis,541,682,1290,36,1093,M,500,A,,,M-500 A
161,3,0,et b M-500 B M-S00 b bis,et b M-500 B M-S00 b bis,544,1300,1289,74,1027,M,500,B,,,M-500 B
161,9,0,M-501 B M-SO0L b,M-501 B M-SO0L b,756,2651,861,38,971,M,501,B,,,M-501 B
162,7,0,| M-502 A M-502 B,| M-502 A M-502 B,108,818,1595,68,670,M,502,A,,,M-502 A
162,7,1,| M-502 A M-502 B,| M-502 A M-502 B,108,818,1595,68,1374,M,502,B,,,M-502 B
162,9,0,M-503 A M-503 B,M-503 A M-503 B,724,1592,976,32,984,M,503,A,,,M-503 A
162,9,1,M-503 A M-503 B,M-503 A M-503 B,724,1592,976,32,1472,M,503,B,,,M-503 B
162,18,0,M-504 A M-504 B,M-504 A M-504 B,713,2355,984,32,975,M,504,A,,,M-504 A
162,18,1,M-504 A M-504 B,M-504 A M-504 B,713,2355,984,32,1467,M,504,B,,,M-504 B
162,29,0,M-505 A M-505 B,M-505 A M-505 B,758,3210,930,37,1006,M,505,A,,,M-505 A
162,29,1,M-505 A M-505 B,M-505 A M-505 B,758,3210,930,37,1471,M,505,B,,,M-505 B
163,9,0,M-506 A M-5060 B,M-506 A M-5060 B,707,860,907,37,933,M,506,A,,,M-506 A
163,9,1,M-506 A M-5060 B,M-506 A M-5060 B,707,860,907,37,1387,M,5060,B,,,M-5060 B
163,19,0,M-506 A bis M-506 B bis,M-506 A bis M-506 B bis,661,1619,1012,35,903,M,506,A,,bis,M-506 A bis
163,19,1,M-506 A bis M-506 B bis,M-506 A bis M-506 B bis,661,1619,1012,35,1431,M,506,B,,bis,M-506 B bis
163,25,0,© pa — a= os a - 9) . Sie “7 a his,© pa - a= os a - 9) . Sie “7 a his,404,2284,1510,60,1092,A,9,,,,A-9
163,27,0,M-507 A M-507 B,M-507 A M-507 B,658,2415,1032,39,933,M,507,A,,,M-507 A
163,27,1,M-507 A M-507 B,M-507 A M-507 B,658,2415,1032,39,1449,M,507,B,,,M-507 B
164,4,0,M-509 A,M-509 A,761,833,141,28,831,M,509,A,,,M-509 A
164,5,0,M-508 B,M-508 B,1598,869,143,44,1669,M,508,B,,,M-508 B
164,7,0,M-510 A M-S10 B |,M-510 A M-S10 B |,756,1672,1593,102,1130,M,510,A,,,M-510 A
164,17,0,M-S12 A M-512 B,M-S12 A M-512 B,719,3211,1032,47,1510,M,512,B,,,M-512 B
165,3,0,M-313.A M-513 B,M-313.A M-513 B,702,823,915,36,854,M,313,,,,M-313
165,3,1,M-313.A M-513 B,M-313.A M-513 B,702,823,915,36,1403,M,513,B,,,M-513 B
165,5,0,M-514 A M-514 B,M-514 A M-514 B,695,1612,927,36,942,M,514,A,,,M-514 A
165,5,1,M-514 A M-514 B,M-514 A M-514 B,695,1612,927,36,1405,M,514,B,,,M-514 B
165,11,0,M-S515 A M-5S15 B,M-S515 A M-5S15 B,734,2435,883,40,1305,M,5,S,,,M-5 S
165,17,0,_ 5 M-5 1 |,_ 5 M-5 1 |,372,3211,1900,27,1408,M,5,,,,M-5
165,18,0,M-516 A M-516 B 1-516 B bis,M-516 A M-516 B 1-516 B bis,320,3211,1729,50,576,M,516,A,,,M-516 A
165,18,1,M-516 A M-516 B 1-516 B bis,M-516 A M-516 B 1-516 B bis,320,3211,1729,50,1088,M,516,B,,,M-516 B
166,11,0,M-S19 A M-519 B,M-S19 A M-519 B,643,2466,1179,34,1546,M,519,B,,,M-519 B
166,16,0,M-S20 A M-520 B,M-S20 A M-520 B,639,3224,1188,38,1549,M,520,B,,,M-520 B
167,2,0,"> : “J — 4 - ‘ - . . >. ~ ye ,- . A ? ‘oe, “ ‘","> : “J - 4 - ‘ - . . >. ~ ye ,- . A ? ‘oe, “ ‘",326,216,1750,58,630,J,4,,,,J-4
167,6,0,a ~ f he & recl- © .vsgeryy- 2 ae,a ~ f he & recl- © .vsgeryy- 2 ae,173,527,1931,128,1869,Y,2,a,,,Y-2 a
167,9,0,M-521 A M-521 B,M-521 A M-521 B,554,814,1234,40,883,M,521,A,,,M-521 A
167,9,1,M-521 A M-521 B,M-521 A M-521 B,554,814,1234,40,1500,M,521,B,,,M-521 B
167,12,0,M-522 A M-522 B,M-522 A M-522 B,628,1613,1093,38,919,M,522,A,,,M-522 A
167,12,1,M-522 A M-522 B,M-522 A M-522 B,628,1613,1093,38,1465,M,522,B,,,M-522 B
167,20,0,M-523 A M-523 B,M-523 A M-523 B,613,2428,1153,38,920,M,523,A,,,M-523 A
167,20,1,M-523 A M-523 B,M-523 A M-523 B,613,2428,1153,38,1496,M,523,B,,,M-523 B
167,25,0,: ri A Ra aS tT 2 3f- 22>,: ri A Ra aS tT 2 3f- 22>,682,2946,1203,47,1716,F,22,,,,F-22
167,28,0,M-524 A M-524 B,M-524 A M-524 B,626,3202,1144,37,931,M,524,A,,,M-524 A
167,28,1,M-524 A M-524 B,M-524 A M-524 B,626,3202,1144,37,1503,M,524,B,,,M-524 B
168,6,0,M-525 A M-525 B,M-525 A M-525 B,653,803,1155,29,961,M,525,A,,,M-525 A
168,6,1,M-525 A M-525 B,M-525 A M-525 B,653,803,1155,29,1538,M,525,B,,,M-525 B
168,14,0,M-526 A M-526 B,M-526 A M-526 B,646,1627,1162,33,955,M,526,A,,,M-526 A
168,14,1,M-526 A M-526 B,M-526 A M-526 B,646,1627,1162,33,1536,M,526,B,,,M-526 B
168,21,0,M-527 A M-527 B,M-527 A M-527 B,651,2379,1148,34,957,M,527,A,,,M-527 A
168,21,1,M-527 A M-527 B,M-527 A M-527 B,651,2379,1148,34,1531,M,527,B,,,M-527 B
168,30,0,M-528 A M-528 B,M-528 A M-528 B,637,3213,1178,38,951,M,528,A,,,M-528 A
168,30,1,M-528 A M-528 B,M-528 A M-528 B,637,3213,1178,38,1540,M,528,B,,,M-528 B
169,13,0,M-529 A M-529 B,M-529 A M-529 B,563,755,1196,41,881,M,529,A,,,M-529 A
169,13,1,M-529 A M-529 B,M-529 A M-529 B,563,755,1196,41,1479,M,529,B,,,M-529 B
169,22,0,M-530 A M-530 B,M-530 A M-530 B,571,1540,1191,34,888,M,530,A,,,M-530 A
169,22,1,M-530 A M-530 B,M-530 A M-530 B,571,1540,1191,34,1484,M,530,B,,,M-530 B
169,31,0,M-331 A M-531 B,M-331 A M-531 B,582,2348,1186,37,898,M,331,A,,,M-331 A
169,31,1,M-331 A M-531 B,M-331 A M-531 B,582,2348,1186,37,1491,M,531,B,,,M-531 B
169,37,0,M-532 A M-532 B,M-532 A M-532 B,586,3216,1182,30,901,M,532,A,,,M-532 A
169,37,1,M-532 A M-532 B,M-532 A M-532 B,586,3216,1182,30,1492,M,532,B,,,M-532 B
170,11,0,M-533 A M-533 B,M-533 A M-533 B,631,837,1129,28,932,M,533,A,,,M-533 A
170,11,1,M-533 A M-533 B,M-533 A M-533 B,631,837,1129,28,1496,M,533,B,,,M-533 B
170,22,0,M-534 A M-534 B,M-534 A M-534 B,631,1649,1125,35,931,M,534,A,,,M-534 A
170,22,1,M-534 A M-534 B,M-534 A M-534 B,631,1649,1125,35,1493,M,534,B,,,M-534 B
170,34,0,M-535 A M-535 B,M-535 A M-535 B,635,2450,1120,37,933,M,535,A,,,M-535 A
170,34,1,M-535 A M-535 B,M-535 A M-535 B,635,2450,1120,37,1493,M,535,B,,,M-535 B
170,41,0,M-336 A M-536 B,M-336 A M-536 B,638,3216,1116,42,935,M,336,A,,,M-336 A
170,41,1,M-336 A M-536 B,M-336 A M-536 B,638,3216,1116,42,1493,M,536,B,,,M-536 B
171,5,0,M-537 A M-537 B,M-537 A M-537 B,629,823,1095,42,921,M,537,A,,,M-537 A
171,5,1,M-537 A M-537 B,M-537 A M-537 B,629,823,1095,42,1468,M,537,B,,,M-537 B
171,12,0,| M-538 A M-538 B,| M-538 A M-538 B,84,1570,1643,108,663,M,538,A,,,M-538 A
171,12,1,| M-538 A M-538 B,| M-538 A M-538 B,84,1570,1643,108,1388,M,538,B,,,M-538 B
171,16,0,M-439 A M-539 B,M-439 A M-539 B,641,2407,1088,37,931,M,439,A,,,M-439 A
171,16,1,M-439 A M-539 B,M-439 A M-539 B,641,2407,1088,37,1475,M,539,B,,,M-539 B
171,26,0,"M-539 A bis M-539 B bis [For M-540 sce p., 364]","M-539 A bis M-539 B bis [For M-540 sce p., 364]",620,3189,1648,45,812,M,539,A,,bis,M-539 A bis
171,26,1,"M-539 A bis M-539 B bis [For M-540 sce p., 364]","M-539 A bis M-539 B bis [For M-540 sce p., 364]",620,3189,1648,45,1233,M,539,B,,bis,M-539 B bis
171,26,2,"M-539 A bis M-539 B bis [For M-540 sce p., 364]","M-539 A bis M-539 B bis [For M-540 sce p., 364]",620,3189,1648,45,1759,M,540,s,,,M-540 s
172,6,0,M-541 A M-541 B,M-541 A M-541 B,670,875,1101,29,963,M,541,A,,,M-541 A
172,6,1,M-541 A M-541 B,M-541 A M-541 B,670,875,1101,29,1514,M,541,B,,,M-541 B
172,13,0,rr M-542 B |,rr M-542 B |,702,1618,1631,62,1653,M,542,B,,,M-542 B
172,18,0,M-543 A M-543 B,M-543 A M-543 B,614,2401,1242,36,945,M,543,A,,,M-543 A
172,18,1,M-543 A M-543 B,M-543 A M-543 B,614,2401,1242,36,1566,M,543,B,,,M-543 B
172,26,0,M-544 A M-544 B,M-544 A M-544 B,632,3226,1212,39,955,M,544,A,,,M-544 A
172,26,1,M-544 A M-544 B,M-544 A M-544 B,632,3226,1212,39,1561,M,544,B,,,M-544 B
173,5,0,M-545 A M-545 B,M-545 A M-545 B,595,911,1173,37,907,M,545,A,,,M-545 A
173,5,1,M-545 A M-545 B,M-545 A M-545 B,595,911,1173,37,1494,M,545,B,,,M-545 B
173,12,0,M-546 A M-546 B |,M-546 A M-546 B |,709,1583,1574,109,1079,M,546,A,,,M-546 A
173,12,1,M-546 A M-546 B |,M-546 A M-546 B |,709,1583,1574,109,1820,M,546,B,,,M-546 B
173,19,0,M-3547 A M-547 B |,M-3547 A M-547 B |,617,2392,1675,102,1035,M,3547,A,,,M-3547 A
173,19,1,M-3547 A M-547 B |,M-3547 A M-547 B |,617,2392,1675,102,1826,M,547,B,,,M-547 B
173,23,0,M-548 A M-S48 B,M-548 A M-S48 B,623,3190,1176,49,936,M,548,A,,,M-548 A
174,6,0,| M-549 A M-549 B,| M-549 A M-549 B,111,790,1656,64,695,M,549,A,,,M-549 A
174,6,1,| M-549 A M-549 B,| M-549 A M-549 B,111,790,1656,64,1426,M,549,B,,,M-549 B
